Burden rank,State,Zone,LGA,Zero-dose children,Zero-dose rate (%),Equity index,Equity tier,Archetype,Intervention bundle,Evidence base (method and citation),Priority flag
11,Kaduna,North West,Kachia,16390.0,63.1,42.1,Moderate,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
12,Zamfara,North West,Kaura Namoda,16266.0,99.0,61.2,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
13,Sokoto,North West,Gada,15733.0,99.0,53.0,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
14,Kano,North West,Bichi,15487.0,67.5,51.8,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
15,Kebbi,North West,Bagudo,15331.0,99.0,55.7,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
16,Zamfara,North West,Bungudu,14744.0,99.0,62.9,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
17,Kano,North West,Dawakin Tofa,13498.0,66.5,53.1,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
18,Zamfara,North West,Tsafe,13078.0,85.1,63.0,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
19,Sokoto,North West,Gwadabawa,13006.0,88.0,53.7,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
20,Kebbi,North West,Argungu,12896.0,99.0,54.9,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
21,Kebbi,North West,Jega,12738.0,99.0,52.4,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
22,Katsina,North West,Kankara,12681.0,70.4,58.2,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
23,Gombe,North East,Funakaye,12652.0,56.8,46.0,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
24,Kano,North West,Dawakin Kudu,12451.0,67.0,48.8,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
25,Zamfara,North West,Bukkuyum,12332.0,99.0,64.8,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
26,Zamfara,North West,Talata Mafara,12293.0,99.0,64.4,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
27,Kano,North West,Tarauni,12224.0,66.9,27.4,Low,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
28,Bauchi,North East,Zaki,11932.0,57.1,61.0,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
29,Sokoto,North West,Sabon Birni,11814.0,89.2,57.2,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
30,Kano,North West,Gabasawa,11624.0,66.8,55.2,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
31,Sokoto,North West,Goronyo,11502.0,99.0,58.6,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
32,Niger,North Central,Shiroro,11395.0,84.9,47.8,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
33,Jigawa,North West,Dutse,11363.0,61.9,62.9,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
34,Zamfara,North West,Maradun,11360.0,95.1,66.2,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
35,Gombe,North East,Kwami,11357.0,62.5,60.2,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
36,Kano,North West,Rogo,11301.0,60.3,58.7,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
37,Bauchi,North East,Katagum,11224.0,34.8,58.5,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
38,Kano,North West,Takai,11116.0,66.6,44.4,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
39,Katsina,North West,Batsari,11037.0,71.8,64.9,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
40,Kano,North West,Fagge,10958.0,66.4,31.5,Low,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
41,Kaduna,North West,Makarfi,10706.0,71.0,41.9,Moderate,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
42,Jigawa,North West,Jahun,10461.0,62.2,62.8,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
43,Bauchi,North East,Itas/Gadau,10375.0,41.2,56.7,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
44,Niger,North Central,Suleja,10348.0,84.5,28.5,Low,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
45,Sokoto,North West,Wurno,10246.0,98.9,52.1,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
46,Katsina,North West,Daura,10139.0,60.9,59.1,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
47,Katsina,North West,Safana,9756.0,71.2,66.8,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
48,Niger,North Central,Chanchaga,9731.0,84.6,21.7,Low,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
49,Kano,North West,Bebeji,9712.0,61.4,55.3,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
50,Katsina,North West,Malumfashi,9587.0,70.8,61.0,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
51,Katsina,North West,Baure,9371.0,62.4,64.7,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
52,Jigawa,North West,Kafin Hausa,9321.0,47.7,66.7,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
53,Katsina,North West,Faskari,9315.0,64.8,63.8,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
54,Katsina,North West,Batagarawa,9183.0,65.6,57.2,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
55,Bauchi,North East,Shira,9177.0,35.6,60.7,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
56,Sokoto,North West,Sokoto North,9037.0,60.8,28.4,Low,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
57,Katsina,North West,Kafur,9023.0,58.2,62.9,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
58,Niger,North Central,Bida,8935.0,84.6,48.9,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
59,Jigawa,North West,Babura,8842.0,56.8,61.3,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
60,Jigawa,North West,Ringim,8736.0,62.1,65.9,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
61,Niger,North Central,Magama,8704.0,84.2,57.6,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
62,Niger,North Central,Mashegu,8632.0,70.4,53.1,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
63,Niger,North Central,Rijau,8434.0,84.1,54.9,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
64,Sokoto,North West,Rabah,8372.0,88.0,60.9,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
65,Gombe,North East,Dukku,8323.0,42.8,58.0,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",TOP PRIORITY
66,Bauchi,North East,Tafawa-Balewa,8317.0,34.1,53.8,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",TOP PRIORITY
